Year,Cryptocurrency,timestamp,Price,Market_Cap_Rank,Total_Volume,Circulating_Supply,Max_Supply,All_Time_High
2020,solana,2020-06-07 00:00:00.000,0.6254174646400334,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-08 00:00:00.000,0.6193745553415636,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-09 00:00:00.000,0.6676807419152483,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-10 00:00:00.000,0.6554185232956307,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-11 00:00:00.000,0.6503617499580121,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-12 00:00:00.000,0.5719983046317773,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-13 00:00:00.000,0.5933564822995189,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-14 00:00:00.000,0.6088102028493066,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-15 00:00:00.000,0.586183105523133,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-16 00:00:00.000,0.5703312716454458,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-17 00:00:00.000,0.5850988389924333,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-18 00:00:00.000,0.5818481709972113,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-19 00:00:00.000,0.6199980008389199,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-20 00:00:00.000,0.6860916859440122,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-21 00:00:00.000,0.6445979846649201,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-22 00:00:00.000,0.6727477930583199,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-23 00:00:00.000,0.7271729644769215,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-24 00:00:00.000,0.7067336276588002,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-25 00:00:00.000,0.7362452622406327,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-26 00:00:00.000,0.7126894105564204,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-27 00:00:00.000,0.7407208653820945,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-28 00:00:00.000,0.7133553688193407,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-29 00:00:00.000,0.7987604659546775,10,361275980,406100444.38903,,259.96
2020,solana,2020-06-30 00:00:00.000,0.8531268842862817,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-01 00:00:00.000,0.8592955544373364,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-02 00:00:00.000,0.8324592358815799,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-03 00:00:00.000,0.7746114788082067,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-04 00:00:00.000,0.7674704652113047,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-05 00:00:00.000,0.7811871083546776,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-06 00:00:00.000,0.6921876621707542,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-07 00:00:00.000,0.708409297313418,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-08 00:00:00.000,0.7534772552866666,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-09 00:00:00.000,0.7956141684819489,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-10 00:00:00.000,0.8504783390765865,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-11 00:00:00.000,0.9136373735709605,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-12 00:00:00.000,0.9215341890095095,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-13 00:00:00.000,1.0175269375576679,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-14 00:00:00.000,1.1787532874584385,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-15 00:00:00.000,1.1483561946452148,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-16 00:00:00.000,1.2935475055510521,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-17 00:00:00.000,0.8689184704805727,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-18 00:00:00.000,0.9818241501710889,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-19 00:00:00.000,0.9673182706042267,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-20 00:00:00.000,0.9224383437804942,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-21 00:00:00.000,0.8730589788162091,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-22 00:00:00.000,0.9763920314535465,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-23 00:00:00.000,1.0447246666635182,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-24 00:00:00.000,1.055806292137335,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-25 00:00:00.000,0.996204458635239,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-26 00:00:00.000,1.250866425449966,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-27 00:00:00.000,1.597026052950196,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-28 00:00:00.000,1.7769558120449132,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-29 00:00:00.000,1.7839631352797094,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-30 00:00:00.000,1.6571919291258759,10,361275980,406100444.38903,,259.96
2020,solana,2020-07-31 00:00:00.000,1.688418732306239,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-01 00:00:00.000,1.538097031663773,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-02 00:00:00.000,1.5331373954293075,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-03 00:00:00.000,1.7460156741727715,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-04 00:00:00.000,1.8003636805602121,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-05 00:00:00.000,1.897307254698148,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-06 00:00:00.000,1.7611833194175444,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-07 00:00:00.000,2.2019224919095755,10,361275980,406100444.38903,,259.96
2020,solana,2020-08-08 00:00:00.000,2.073120413084232,10,361275980,406100444.38903,,259.96
